variant,evidence_concentration,modality_consistency,decision_boundary_proximity,evidence_diversity,ood_validity,aggregate_score_mean,overall_violation_rate,mean_js
baseline,0.8268652761165738,0.6622557499999999,0.9388561793824102,0.8404658385093168,0.5470989374179948,0.7681862087947222,0.32,0.0
text_neutral,0.7677003766398499,0.5,0.9317875732349445,0.8290993788819876,0.5422249689713374,0.7089812609849503,0.15,0.0801275
image_neutral,0.8059338753133021,0.5,0.9338938211902439,0.8810559006211178,0.4661367004057685,0.7153411232204072,0.29,0.1211315
noisy,0.7416306520390282,0.6622557499999999,0.909630924430365,0.8334782608695653,0.22254866962840758,0.6913018249705261,0.165,0.0188035
