variant,num_queries,overall_violation_rate,aggregate_score_mean,aggregate_score_std,mean_js,mean_top1_prob,mean_query_distance,evidence_concentration_mean,evidence_concentration_std,evidence_concentration_violation_rate,delta_evidence_concentration_mean,modality_consistency_mean,modality_consistency_std,modality_consistency_violation_rate,delta_modality_consistency_mean,decision_boundary_proximity_mean,decision_boundary_proximity_std,decision_boundary_proximity_violation_rate,delta_decision_boundary_proximity_mean,evidence_diversity_mean,evidence_diversity_std,evidence_diversity_violation_rate,delta_evidence_diversity_mean,ood_validity_mean,ood_validity_std,ood_validity_violation_rate,delta_ood_validity_mean
baseline,200,0.32,0.7681862087947222,0.09569499060249559,0.0,0.8088203286484632,1.1729091584682465,0.8268652761165738,0.1611267947032155,0.02,0.0,0.6622557499999999,0.06681320830821927,0.015,0.0,0.9388561793824102,0.14772368157267532,0.045,0.0,0.8404658385093168,0.2694024306684902,0.075,0.0,0.5470989374179948,0.07734103354747686,0.295,0.0
text_neutral,200,0.15,0.7089812609849503,0.09668814177972174,0.0801275,0.750287151546106,1.1797353899478913,0.7677003766398499,0.19505827961545835,0.075,-0.059164899476723785,0.5,0.0,0.0,-0.16225575,0.9317875732349445,0.14514644181232955,0.035,-0.007068606147465417,0.8290993788819876,0.28267419724162396,0.095,-0.011366459627329193,0.5422249689713374,0.061000959468139854,0.245,-0.004873968446657244
image_neutral,200,0.29,0.7153411232204072,0.08902728530047455,0.1211315,0.7967455341746162,1.275420201420784,0.8059338753133021,0.18437788077189737,0.085,-0.0209314008032716,0.5,0.0,0.0,-0.16225575,0.9338938211902439,0.15464530661580395,0.04,-0.004962358192166042,0.8810559006211178,0.25330023381108063,0.07,0.040590062111801245,0.4661367004057685,0.08095600842761945,0.685,-0.08096223701222623
noisy,200,0.165,0.6913018249705261,0.10527288795422386,0.0188035,0.7312244307269082,1.6246243447065354,0.7416306520390282,0.1846993010152434,0.075,-0.08523462407754559,0.6622557499999999,0.06681320830821927,0.015,0.0,0.909630924430365,0.1657372509406105,0.055,-0.029225254952044838,0.8334782608695653,0.2749802381976777,0.08,-0.006987577639751555,0.22254866962840758,0.04702464132435861,1.0,-0.3245502677895872
