robustness_level,perturbation,n,mean_js,js_std,top1_change_rate,top5_overlap_rate,top5_jaccard,mean_aggregate_delta,violation_rate
high,text_neutral,121,0.02616611570247934,0.033447732887677994,0.09090909090909091,0.8595041322314051,0.7721369539551358,-0.062122280879031565,0.01652892561983471
high,image_neutral,121,0.02317603305785124,0.03624498375049005,0.06611570247933884,0.8545454545454547,0.7695789059425423,-0.06743930189152136,0.049586776859504134
high,noisy,121,0.013881818181818181,0.014435321693564512,0.06611570247933884,0.9123966942148762,0.8555686737504917,-0.07008380513062999,0.09917355371900827
medium,text_neutral,28,0.14209999999999998,0.08734564344357094,0.39285714285714285,0.7928571428571429,0.6951530612244897,-0.08203750661755878,0.2857142857142857
medium,image_neutral,28,0.15911785714285714,0.07912566431032993,0.5357142857142857,0.8071428571428572,0.7079081632653061,-0.03819400134418925,0.5714285714285714
medium,noisy,28,0.02576785714285714,0.021749122372629014,0.17857142857142858,0.95,0.9166666666666667,-0.0828740136462908,0.25
low,text_neutral,51,0.17412941176470587,0.17352353323376196,0.37254901960784315,0.7254901960784312,0.5962496109554933,-0.039747909613724174,0.39215686274509803
low,image_neutral,51,0.33268039215686274,0.21024023515558954,0.7058823529411765,0.7490196078431373,0.6392001244942421,-0.026263324477482076,0.7058823529411765
low,noisy,51,0.02665686274509804,0.020974842586541156,0.11764705882352941,0.9058823529411762,0.8450046685340802,-0.08973066592033063,0.27450980392156865
